ID;Date;Date (Unix);Volume ETH;Volume USD;Volume USD Untracked;Feed USD;TX Count;TVL USD
18871;8/31/2021, 5:00:00 PM;1630454400;159.785102754537116735;564334.075570119100723006;0.0;708.306570979902382089;979;708.306570979902382089
18872;9/1/2021, 5:00:00 PM;1630540800;122.072601867300848534;459287.074321669500242435;0.0;873.557291350047115201;1,673;873.557291350047115201
18873;9/2/2021, 5:00:00 PM;1630627200;190.384521753585551047;728673.666494607210218219;0.0;763.534991226611692649;2,550;763.534991226611692649
18874;9/3/2021, 5:00:00 PM;1630713600;73.863435066348523517;287229.094384111630169216;0.0;407.753439802666044333;2,938;407.753439802666044333
18875;9/4/2021, 5:00:00 PM;1630800000;110.347639194150222387;428154.647383366234099357;0.0;520.756353617004899502;3,865;520.756353617004899502
18876;9/5/2021, 5:00:00 PM;1630886400;1941.69056739338946315;7593959.325694524305271776;0.0;62180.110110933922974525;5,882;62180.110110933922974525
18877;9/6/2021, 5:00:00 PM;1630972800;1119.81742769735835383;3982650.749489913661622621;0.0;18560.46448922667334097;7,017;18560.46448922667334097
18878;9/7/2021, 5:00:00 PM;1631059200;319.696008116420527714;1088692.120428824422823956;0.0;4106.346299597379220566;7,726;4106.346299597379220566
18879;9/8/2021, 5:00:00 PM;1631145600;531.175396014273581996;1857154.889510469040110944;0.0;8022.156802767604730059;8,852;8022.156802767604730059
18880;9/9/2021, 5:00:00 PM;1631232000;1511.277590133566060637;5027145.363922469074841975;0.0;24820.249734639671176473;11,954;24820.249734639671176473
18881;9/10/2021, 5:00:00 PM;1631318400;9553.606546279814754321;31385532.388048877665985198;0.0;214335.682888025695174988;25,905;214335.682888025695174988
18882;9/11/2021, 5:00:00 PM;1631404800;11153.783950229292186202;37418155.856252960551280368;0.0;204857.200415904207302037;44,997;204857.200415904207302037
18883;9/12/2021, 5:00:00 PM;1631491200;8719.540248884046653465;27816289.695576479276515417;0.0;116416.242064568632614755;57,864;116416.242064568632614755
18884;9/13/2021, 5:00:00 PM;1631577600;9662.657684008607726404;31870658.379263329447775534;0.0;172553.950118296627062608;70,944;172553.950118296627062608
18885;9/14/2021, 5:00:00 PM;1631664000;12207.154767719121993272;41720445.005666345789173645;0.0;166323.803465178923858739;83,212;166323.803465178923858739
18886;9/15/2021, 5:00:00 PM;1631750400;11713.516241234080263494;41301488.405407887357617258;0.0;134116.555868922502996845;94,033;134116.555868922502996845
18887;9/16/2021, 5:00:00 PM;1631836800;8781.920015017529763476;30003844.727458814655190111;0.0;100601.468853318738867587;104,068;100601.468853318738867587
18888;9/17/2021, 5:00:00 PM;1631923200;7871.388104951943650843;26827606.995578638888617635;0.0;93607.196628962790996644;114,098;93607.196628962790996644
18889;9/18/2021, 5:00:00 PM;1632009600;6704.269315039896334064;22308925.62259475904782968;0.0;59385.706937024100724766;124,969;59385.706937024100724766
18890;9/19/2021, 5:00:00 PM;1632096000;16921.413115059775693385;51889269.655237159889411679;0.0;189555.723285528524577793;134,284;189555.723285528524577793
18891;9/20/2021, 5:00:00 PM;1632182400;17474.358423160296023701;50588575.389274766766315922;0.0;128449.258405474565379409;144,106;128449.258405474565379409
18892;9/21/2021, 5:00:00 PM;1632268800;9633.885247435814465175;27974845.706960123224181108;0.0;69053.170980192994927759;152,699;69053.170980192994927759
18893;9/22/2021, 5:00:00 PM;1632355200;6648.482787107973883531;20463121.662625424451154701;0.0;60245.379858653994926148;166,736;60245.379858653994926148
18894;9/23/2021, 5:00:00 PM;1632441600;9751.510329712277034255;28380648.417977272311401731;0.0;70713.479680867992286227;173,989;70713.479680867992286227
18895;9/24/2021, 5:00:00 PM;1632528000;6248.137751382870396965;18025560.496544865549343314;0.0;42337.362296330215161174;180,532;42337.362296330215161174
18896;9/25/2021, 5:00:00 PM;1632614400;12295.666769589164939127;36004940.051474068379376669;0.0;130774.466296026706507443;186,782;130774.466296026706507443
18897;9/26/2021, 5:00:00 PM;1632700800;8724.515498933482228857;26610945.418055759644106387;0.0;92698.194970538479388691;192,535;92698.194970538479388691
18898;9/27/2021, 5:00:00 PM;1632787200;6930.866869282882479071;19966324.91143381516545868;0.0;59895.087458616060371073;197,898;59895.087458616060371073
18899;9/28/2021, 5:00:00 PM;1632873600;4445.392980611759949186;12725882.348014617049150592;0.0;32680.685025708907128392;202,484;32680.685025708907128392
18900;9/29/2021, 5:00:00 PM;1632960000;6253.35423736624465165;18501424.361054544373561814;0.0;46399.704694969235411596;207,218;46399.704694969235411596
18901;9/30/2021, 5:00:00 PM;1633046400;4699.986753581622962278;14780875.701971506817236489;0.0;38731.7476124927187273;211,954;38731.7476124927187273
18902;10/1/2021, 5:00:00 PM;1633132800;3134.055962985066924473;10436200.174751426282728653;0.0;42164.331138239223758014;216,703;42164.331138239223758014
18903;10/2/2021, 5:00:00 PM;1633219200;3881.579186159447676232;13160028.471696679906264597;0.0;66277.600371478241719681;222,709;66277.600371478241719681
18904;10/3/2021, 5:00:00 PM;1633305600;4774.918701084384727999;15998830.284118681070032449;0.0;65924.624781528101441867;227,540;65924.624781528101441867
18905;10/4/2021, 5:00:00 PM;1633392000;6193.78928337500136036;21190507.614955938232043521;0.0;101499.306627336213310131;231,733;101499.306627336213310131
18906;10/5/2021, 5:00:00 PM;1633478400;8556.561726083407122054;29861626.184872079125289305;0.0;86711.226852138067944267;235,806;86711.226852138067944267
18907;10/6/2021, 5:00:00 PM;1633564800;5096.76680315462119829;18169667.829865608531954965;0.0;61917.747540892171928391;238,728;61917.747540892171928391
